country,gold,silver,bronze,total,athletes,gold_pct,total_per_athlete,pop_millions,medals_per_million,longitude,latitude
Norway,18,12,11,41,103,43.9,0.398,5.4,7.59,15.4,65.5
United States,12,12,9,33,235,36.4,0.140,331.0,0.10,-98.6,39.8
Netherlands,10,7,3,20,42,50.0,0.476,17.9,1.12,5.3,52.3
Italy,10,6,14,30,195,33.3,0.154,60.0,0.50,12.6,42.5
Germany,8,10,8,26,156,30.8,0.167,84.0,0.31,10.4,51.2
France,8,9,6,23,117,34.8,0.197,68.0,0.34,2.2,46.2
Sweden,8,6,4,18,109,44.4,0.165,10.5,1.71,18.6,62.0
Switzerland,6,9,8,23,167,26.1,0.138,8.7,2.64,8.2,46.8
Austria,5,8,5,18,98,27.8,0.184,9.1,1.98,14.5,47.5
Japan,5,7,12,24,124,20.8,0.194,126.0,0.19,138.3,36.2
Canada,5,7,9,21,211,23.8,0.100,38.0,0.55,-96.8,60.0
China,5,4,6,15,176,33.3,0.085,1411.0,0.01,104.2,35.9
South Korea,3,4,3,10,64,30.0,0.156,52.0,0.19,127.8,36.5
Australia,3,2,1,6,59,50.0,0.102,26.0,0.23,134.5,-25.7
Great Britain,3,1,1,5,58,60.0,0.086,67.0,0.07,-2.9,54.1
Czechia,2,2,1,5,89,40.0,0.056,10.8,0.46,15.5,49.8
Slovenia,2,1,1,4,75,50.0,0.053,2.1,1.90,14.8,46.1
Spain,1,0,2,3,34,33.3,0.088,47.0,0.06,-3.7,40.4
Brazil,1,0,0,1,7,100.0,0.143,215.0,0.005,-51.9,-14.2
Georgia,1,0,0,1,4,100.0,0.250,3.7,0.27,43.4,42.3
Finland,0,3,1,4,95,0.0,0.042,5.5,0.73,26.9,64.6
New Zealand,0,2,1,3,22,0.0,0.136,5.1,0.59,172.5,-41.5
Hungary,0,1,5,6,55,0.0,0.109,9.7,0.62,19.5,47.2
Latvia,0,1,1,2,34,0.0,0.059,1.8,1.11,24.9,56.9
Kazakhstan,0,1,0,1,29,0.0,0.034,19.0,0.05,66.9,48.0
Poland,0,1,0,1,87,0.0,0.011,38.0,0.03,19.4,52.1
Denmark,0,1,0,1,35,0.0,0.029,5.9,0.17,10.0,56.3
Belgium,0,1,0,1,21,0.0,0.048,11.6,0.09,4.5,50.5
Slovakia,0,0,2,2,46,0.0,0.043,5.5,0.36,19.7,48.7
